DATE,CODE BASE SEC,SEC DSC, LOWER PRICE , TODAY PRICE , UPPER PRICE , STDEV 
20221031,US455780DJ24,INDON 3 55 03312032, 85.439855 , 86.011455 , 86.583054 , 0.5716 
20221031,US455780DK96,INDONESIA REP OF , 75.776217 , 76.347817 , 76.919416 , 0.5716 
20221031,US455780DM52,INDON 4, 94.508875 , 95.054224 , 95.599574 , 0.5453 
20221031,US455780DN36,REPUBLIC OF INDONESIA, 92.152746 , 92.724345 , 93.295944 , 0.5716 
20221031,US455780DP83,INDONESIA, 89.830012 , 90.401611 , 90.973210 , 0.5716 
20221031,US71567RAA41,PERUSAHAAN PENERBIT SBSN 3.3% 21/11/2022, 99.512364 , 99.938197 , 100.364031 , 0.4258 
20221031,US71567RAC07,PERUSAHAAN PENERBIT INDOIS4, 98.803888 , 99.229722 , 99.655555 , 0.4258 
20221031,US71567RAD89,REPUBLIC OF INDONESIA 28EMI2025, 97.983827 , 98.409660 , 98.835494 , 0.4258 
20221031,US71567RAF38,INDOIS 26, 97.435249 , 97.980598 , 98.525948 , 0.5453 
20221031,US71567RAH93,SBSN SERI INDOIS27 290327, 94.677551 , 95.222900 , 95.768249 , 0.5453 
20221031,US71567RAJ59,INDOIS 3 3 4 01032023INDOIS 3 3 4 , 99.323989 , 99.749823 , 100.175656 , 0.4258 
20221031,US71567RAK23,PERUSAHAAN PENER 3 PCT SUK MT, 94.585095 , 95.130444 , 95.675794 , 0.5453 
20221031,US71567RAL06,INDOIS 3 9 20082024, 98.054166 , 98.480000 , 98.905834 , 0.4258 
20221031,US71567RAM88,PERUSAHAAN PENER 3 PCT SNR M, 94.431775 , 94.977124 , 95.522473 , 0.5453 
20221031,US71567RAN61,INDOIS 2 3 23062025, 92.669778 , 93.095612 , 93.521445 , 0.4258 
20221031,US71567RAP10,INDOIS 2 8 23062030, 83.424901 , 83.996500 , 84.568099 , 0.5716 
20221031,US71567RAQ92,PERUSAHAAN PENER 3 PCT SNR BD, 70.401234 , 70.972833 , 71.544433 , 0.5716 
20221031,US71567RAR75,INDOIS 1 5 09062026, 87.364267 , 87.909616 , 88.454965 , 0.5453 
20221031,US71567RAS58,PERUSAHAAN PENER, 79.896101 , 80.467700 , 81.039299 , 0.5716 
20221031,US71567RAT32,INDONESIA SER REGS 3 55 09JUN2051, 67.365401 , 67.937000 , 68.508599 , 0.5716 
20221031,US71567RAU05,INDOIS 4 4 06062027, 95.182551 , 95.727900 , 96.273249 , 0.5453 
20221031,US71567RAV87,INDOIS 4 7 06062032, 93.232901 , 93.804500 , 94.376099 , 0.5716 
20221031,USDFR0002,OBLIGASI NEGARA REPUBLIK INDONESIA SERI USDFR0002, 95.600913 , 96.146262 , 96.691611 , 0.5453 
20221031,USDFR0003,OBLIGASI NEGARA REPUBLIK INDONESIA SERI USDFR0003, 81.057829 , 81.629429 , 82.201028 , 0.5716 
20221031,USDPBS-003,SBSN SERI USDPBS-003, 95.801325 , 96.227159 , 96.652992 , 0.4258 
20221031,USDPBS-004,SBSN SERI USDPBS-004, 93.512738 , 94.058088 , 94.603437 , 0.5453 
20221031,USY20721AE96,REPUBLIC OF INDONESIA 8.5% 12.10.2035, 117.164859 , 117.736458 , 118.308058 , 0.5716 
20221031,USY20721AJ83,Republic of Indonesia 6.625% 17.02.2037, 102.917942 , 103.489542 , 104.061141 , 0.5716 
20221031,USY20721AL30,Republic Of Indonesia 7.75% 17.1.2038, 110.329051 , 110.900650 , 111.472249 , 0.5716 
20221031,USY20721BB49,INDONESIA (REP OF) SER REGS 5.25PCT, 90.325037 , 90.896636 , 91.468236 , 0.5716 
20221031,USY20721BD05,INDONESIAN GOVERNMENT INTERNATIONAL, 99.043280 , 99.469113 , 99.894947 , 0.4258 
20221031,USY20721BE87,REPUBLIC OF INDONESIA 4.625% 15APR43, 83.602575 , 84.174174 , 84.745773 , 0.5716 
20221031,USY20721BG36,REP OF INDON 25 , 97.639291 , 98.065125 , 98.490958 , 0.4258 
20221031,USY20721BH19,INDON 5, 100.143852 , 100.569685 , 100.995519 , 0.4258 
20221031,USY20721BJ74,REP OF INDON 24, 100.766961 , 101.192794 , 101.618628 , 0.4258 
20221031,USY20721BK48,INDON 6 3/4 01/15/44, 102.970734 , 103.542333 , 104.113933 , 0.5716 
20221031,USY20721BM04,REPUBLIC OF INDONESIA, 87.531101 , 88.102700 , 88.674299 , 0.5716 
20221031,USY20721BN86,Republik Indonesia 8Jan2026 , 97.602689 , 98.148038 , 98.693388 , 0.5453 
20221031,USY20721BP35,INDONESIA REP OF 595 08JAN2046, 96.265310 , 96.836909 , 97.408508 , 0.5716 
20221031,USY20721BQ18,INDON 27 , 95.702901 , 96.248250 , 96.793599 , 0.5453 
20221031,USY20721BR90,INDONESIA REP OF , 89.098551 , 89.670150 , 90.241749 , 0.5716 
20221031,USY20721BT56,INDON 3 85 18072027, 93.089605 , 93.634955 , 94.180304 , 0.5453 
20221031,USY20721BU20,INDONESIA (REP), 82.893984 , 83.465583 , 84.037183 , 0.5716 
20221031,VR0033,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0033, 99.445874 , 99.795874 , 100.145874 , 0.3500 
20221031,VR0034,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0034, 99.623608 , 99.973608 , 100.323608 , 0.3500 
20221031,VR0035,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0035, 99.553606 , 99.973607 , 100.393608 , 0.4200 
20221031,VR0036,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0036, 99.553606 , 99.973607 , 100.393608 , 0.4200 
20221031,VR0037,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0037, 99.553606 , 99.973607 , 100.393608 , 0.4200 
20221031,VR0038,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0038, 99.548600 , 99.898600 , 100.248600 , 0.3500 
20221031,VR0039,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0039, 99.478599 , 99.898600 , 100.318601 , 0.4200 
20221031,VR0040,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0040, 99.478599 , 99.898600 , 100.318601 , 0.4200 
20221031,VR0041,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0041, 99.478599 , 99.898600 , 100.318601 , 0.4200 
20221031,VR0042,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0042, 99.553448 , 99.903448 , 100.253448 , 0.3500 
20221031,VR0043,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0043, 99.483447 , 99.903448 , 100.323449 , 0.4200 
20221031,VR0044,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0044, 99.483447 , 99.903448 , 100.323449 , 0.4200 
20221031,VR0045,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0045, 99.483447 , 99.903448 , 100.323449 , 0.4200 
20221031,VR0046,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0046, 99.527935 , 99.877935 , 100.227935 , 0.3500 
